director_name,actor_1_name,actor_2_name,genres,movie_title,combined
 Ritesh Batra, Jim Broadbent,Charlotte Rampling,Mystery drama,the sense of an ending, Ritesh Batra  Jim Broadbent Charlotte Rampling Mystery drama the sense of an ending
 John Jencks, Roger Allam,Rod Glenn,Comedy,the hippopotamus, John Jencks  Roger Allam Rod Glenn Comedy the hippopotamus
 Charlie McDowell, Jason Segel,Rooney Mara,Science-fiction romance,the discovery, Charlie McDowell  Jason Segel Rooney Mara Science-fiction romance the discovery
 Taylor Sheridan, Jeremy Renner,Elizabeth Olsen,Neo-Western Murder mystery,wind river, Taylor Sheridan  Jeremy Renner Elizabeth Olsen Neo-Western Murder mystery wind river
 Danny Boyle, Ewan McGregor,Ewen Bremner,Crime Comedy-drama,t2 trainspotting, Danny Boyle  Ewan McGregor Ewen Bremner Crime Comedy-drama t2 trainspotting
 Francis Lee, Josh O'Connor,Alec Secareanu,Drama,god's own country, Francis Lee  Josh O'Connor Alec Secareanu Drama god's own country
 Adam Randall, Bill Milner,Maisie Williams,Science-fiction Teen thriller,iboy, Adam Randall  Bill Milner Maisie Williams Science-fiction Teen thriller iboy
 Peter Mackie Burns, Emily Beecham,Geraldine James,Drama,daphne, Peter Mackie Burns  Emily Beecham Geraldine James Drama daphne
unknown, P. David Ebersole,Todd Hughes,Documentary,mansfield 66/67,unknown  P. David Ebersole Todd Hughes Documentary mansfield 66/67
 Grant McPhee, Patrick O'Brien,Mariel McAllan,Psychedelic Vampire Horror,night kaleidoscope, Grant McPhee  Patrick O'Brien Mariel McAllan Psychedelic Vampire Horror night kaleidoscope
 Rafael Kapelinski, Theo Stevenson,Thomas Turgoose,Drama,butterfly kisses, Rafael Kapelinski  Theo Stevenson Thomas Turgoose Drama butterfly kisses
unknown, Andrea Luka Zimmerman,unknown,Documentary,erase and forget,unknown  Andrea Luka Zimmerman unknown Documentary erase and forget
 Stanley Tucci, Geoffrey Rush,Armie Hammer,Drama,final portrait, Stanley Tucci  Geoffrey Rush Armie Hammer Drama final portrait
 Gurinder Chadha, Hugh Bonneville,Gillian Anderson,Historical drama,viceroy's house, Gurinder Chadha  Hugh Bonneville Gillian Anderson Historical drama viceroy's house
 Sally Potter, Patricia Clarkson,Bruno Ganz,Black comedy,the party, Sally Potter  Patricia Clarkson Bruno Ganz Black comedy the party
 George Mendeluk, Max Irons,Samantha Barks,Drama War film Romance,bitter harvest, George Mendeluk  Max Irons Samantha Barks Drama War film Romance bitter harvest
 S. A. Halewood, Linus Roache,Lotte Verbeek,Political thriller,division 19, S. A. Halewood  Linus Roache Lotte Verbeek Political thriller division 19
 Charles Garrad, Colin Morgan,Fanny Ardant,Drama,waiting for you, Charles Garrad  Colin Morgan Fanny Ardant Drama waiting for you
