director_name,actor_1_name,actor_2_name,language,country,genres,movie_title,combined
 Ritesh Batra, Jim Broadbent,Charlotte Rampling,English,UK,Mystery drama,the sense of an ending, Ritesh Batra  Jim Broadbent Charlotte Rampling Mystery drama the sense of an ending
 John Jencks, Roger Allam,Rod Glenn,English,UK,Comedy,the hippopotamus, John Jencks  Roger Allam Rod Glenn Comedy the hippopotamus
 Charlie McDowell, Jason Segel,Rooney Mara,English,UK,Science-fiction romance,the discovery, Charlie McDowell  Jason Segel Rooney Mara Science-fiction romance the discovery
 Taylor Sheridan, Jeremy Renner,Elizabeth Olsen,English,UK,Neo-Western Murder mystery,wind river, Taylor Sheridan  Jeremy Renner Elizabeth Olsen Neo-Western Murder mystery wind river
 Danny Boyle, Ewan McGregor,Ewen Bremner,English,UK,Crime Comedy-drama,t2 trainspotting, Danny Boyle  Ewan McGregor Ewen Bremner Crime Comedy-drama t2 trainspotting
 Francis Lee, Josh O'Connor,Alec Secareanu,English,UK,Drama,god's own country, Francis Lee  Josh O'Connor Alec Secareanu Drama god's own country
 Adam Randall, Bill Milner,Maisie Williams,English,UK,Science-fiction Teen thriller,iboy, Adam Randall  Bill Milner Maisie Williams Science-fiction Teen thriller iboy
 Peter Mackie Burns, Emily Beecham,Geraldine James,English,UK,Drama,daphne, Peter Mackie Burns  Emily Beecham Geraldine James Drama daphne
unknown, P. David Ebersole,Todd Hughes,English,UK,Documentary,mansfield 66/67,unknown  P. David Ebersole Todd Hughes Documentary mansfield 66/67
 Grant McPhee, Patrick O'Brien,Mariel McAllan,English,UK,Psychedelic Vampire Horror,night kaleidoscope, Grant McPhee  Patrick O'Brien Mariel McAllan Psychedelic Vampire Horror night kaleidoscope
 Rafael Kapelinski, Theo Stevenson,Thomas Turgoose,English,UK,Drama,butterfly kisses, Rafael Kapelinski  Theo Stevenson Thomas Turgoose Drama butterfly kisses
unknown, Andrea Luka Zimmerman,unknown,English,UK,Documentary,erase and forget,unknown  Andrea Luka Zimmerman unknown Documentary erase and forget
 Stanley Tucci, Geoffrey Rush,Armie Hammer,English,UK,Drama,final portrait, Stanley Tucci  Geoffrey Rush Armie Hammer Drama final portrait
 Gurinder Chadha, Hugh Bonneville,Gillian Anderson,English,UK,Historical drama,viceroy's house, Gurinder Chadha  Hugh Bonneville Gillian Anderson Historical drama viceroy's house
 Sally Potter, Patricia Clarkson,Bruno Ganz,English,UK,Black comedy,the party, Sally Potter  Patricia Clarkson Bruno Ganz Black comedy the party
 George Mendeluk, Max Irons,Samantha Barks,English,UK,Drama War film Romance,bitter harvest, George Mendeluk  Max Irons Samantha Barks Drama War film Romance bitter harvest
 S. A. Halewood, Linus Roache,Lotte Verbeek,English,UK,Political thriller,division 19, S. A. Halewood  Linus Roache Lotte Verbeek Political thriller division 19
 Charles Garrad, Colin Morgan,Fanny Ardant,English,UK,Drama,waiting for you, Charles Garrad  Colin Morgan Fanny Ardant Drama waiting for you
 Robert Mullan, David Tennant,Elisabeth Moss,English,UK,Biographical drama,mad to be normal, Robert Mullan  David Tennant Elisabeth Moss Biographical drama mad to be normal
 Jonny Owen, Gareth Bale,Chris Coleman,English,UK,Documentary,don't take me home, Jonny Owen  Gareth Bale Chris Coleman Documentary don't take me home
 Kavi Raz, Satinder Sartaj,Amanda Root,English,UK,Historical drama,the black prince, Kavi Raz  Satinder Sartaj Amanda Root Historical drama the black prince
 Niki Caro, Jessica Chastain,Johan Heldenbergh,English,UK,War drama,the zookeeper's wife, Niki Caro  Jessica Chastain Johan Heldenbergh War drama the zookeeper's wife
 Roger Goldby, Joan Collins,Pauline Collins,English,UK,Road comedy,the time of their lives, Roger Goldby  Joan Collins Pauline Collins Road comedy the time of their lives
 Edgar Wright, Ansel Elgort,Kevin Spacey,English,UK,Musical Action Crime,baby driver, Edgar Wright  Ansel Elgort Kevin Spacey Musical Action Crime baby driver
 Christopher Menaul, Jenny Seagrove,Julian Kostov,English,UK,War drama,another mother's son, Christopher Menaul  Jenny Seagrove Julian Kostov War drama another mother's son
 Oz Arshad, Danny Ashok,Asmara Gabrielle,English,UK,Romantic comedy,finding fatimah, Oz Arshad  Danny Ashok Asmara Gabrielle Romantic comedy finding fatimah
 Michael Winterbottom, Steve Coogan,Rob Brydon,English,UK,Comedy,the trip to spain, Michael Winterbottom  Steve Coogan Rob Brydon Comedy the trip to spain
 Jonathan Teplitzky, Brian Cox,Miranda Richardson,English,UK,Historical war drama,churchill, Jonathan Teplitzky  Brian Cox Miranda Richardson Historical war drama churchill
 Michael Apted, Noomi Rapace,Orlando Bloom,English,UK,Thriller,unlocked, Michael Apted  Noomi Rapace Orlando Bloom Thriller unlocked
 Guy Ritchie, Charlie Hunnam,Àstrid Bergès-Frisbey,English,UK,Epic fantasy,king arthur: legend of the sword, Guy Ritchie  Charlie Hunnam Àstrid Bergès-Frisbey Epic fantasy king arthur: legend of the sword
