director_name,actor_1_name,actor_2_name,language,country,genres,movie_title,combined
James Cameron,CCH Pounder,Joel David Moore,English,USA,Action Adventure Fantasy Sci-Fi,avatar,James Cameron CCH Pounder Joel David Moore Action Adventure Fantasy Sci-Fi avatar
Gore Verbinski,Johnny Depp,Orlando Bloom,English,USA,Action Adventure Fantasy,pirates of the caribbean: at world's end,Gore Verbinski Johnny Depp Orlando Bloom Action Adventure Fantasy pirates of the caribbean: at world's end
Sam Mendes,Christoph Waltz,Rory Kinnear,English,UK,Action Adventure Thriller,spectre,Sam Mendes Christoph Waltz Rory Kinnear Action Adventure Thriller spectre
Christopher Nolan,Tom Hardy,Christian Bale,English,USA,Action Thriller,the dark knight rises,Christopher Nolan Tom Hardy Christian Bale Action Thriller the dark knight rises
Doug Walker,Doug Walker,Rob Walker,unknown,unknown,Documentary,star wars: episode vii - the force awakens            ,Doug Walker Doug Walker Rob Walker Documentary star wars: episode vii - the force awakens            
Andrew Stanton,Daryl Sabara,Samantha Morton,English,USA,Action Adventure Sci-Fi,john carter,Andrew Stanton Daryl Sabara Samantha Morton Action Adventure Sci-Fi john carter
Nathan Greno,Brad Garrett,Donna Murphy,English,USA,Adventure Animation Comedy Family Fantasy Musical Romance,tangled,Nathan Greno Brad Garrett Donna Murphy Adventure Animation Comedy Family Fantasy Musical Romance tangled
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,English,USA,Action Adventure Sci-Fi,avengers: age of ultron,Joss Whedon Chris Hemsworth Robert Downey Jr. Action Adventure Sci-Fi avengers: age of ultron
David Yates,Alan Rickman,Daniel Radcliffe,English,UK,Adventure Family Fantasy Mystery,harry potter and the half-blood prince,David Yates Alan Rickman Daniel Radcliffe Adventure Family Fantasy Mystery harry potter and the half-blood prince
Zack Snyder,Henry Cavill,Lauren Cohan,English,USA,Action Adventure Sci-Fi,batman v superman: dawn of justice,Zack Snyder Henry Cavill Lauren Cohan Action Adventure Sci-Fi batman v superman: dawn of justice
Bryan Singer,Kevin Spacey,Marlon Brando,English,USA,Action Adventure Sci-Fi,superman returns,Bryan Singer Kevin Spacey Marlon Brando Action Adventure Sci-Fi superman returns
Marc Forster,Giancarlo Giannini,Mathieu Amalric,English,UK,Action Adventure,quantum of solace,Marc Forster Giancarlo Giannini Mathieu Amalric Action Adventure quantum of solace
Gore Verbinski,Johnny Depp,Orlando Bloom,English,USA,Action Adventure Fantasy,pirates of the caribbean: dead man's chest,Gore Verbinski Johnny Depp Orlando Bloom Action Adventure Fantasy pirates of the caribbean: dead man's chest
Gore Verbinski,Johnny Depp,Ruth Wilson,English,USA,Action Adventure Western,the lone ranger,Gore Verbinski Johnny Depp Ruth Wilson Action Adventure Western the lone ranger
Zack Snyder,Henry Cavill,Christopher Meloni,English,USA,Action Adventure Fantasy Sci-Fi,man of steel,Zack Snyder Henry Cavill Christopher Meloni Action Adventure Fantasy Sci-Fi man of steel
Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,English,USA,Action Adventure Family Fantasy,the chronicles of narnia: prince caspian,Andrew Adamson Peter Dinklage Pierfrancesco Favino Action Adventure Family Fantasy the chronicles of narnia: prince caspian
Rob Marshall,Johnny Depp,Sam Claflin,English,USA,Action Adventure Fantasy,pirates of the caribbean: on stranger tides,Rob Marshall Johnny Depp Sam Claflin Action Adventure Fantasy pirates of the caribbean: on stranger tides
Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,English,USA,Action Adventure Comedy Family Fantasy Sci-Fi,men in black 3,Barry Sonnenfeld Will Smith Michael Stuhlbarg Action Adventure Comedy Family Fantasy Sci-Fi men in black 3
Peter Jackson,Aidan Turner,Adam Brown,English,New Zealand,Adventure Fantasy,the hobbit: the battle of the five armies,Peter Jackson Aidan Turner Adam Brown Adventure Fantasy the hobbit: the battle of the five armies
Marc Webb,Emma Stone,Andrew Garfield,English,USA,Action Adventure Fantasy,the amazing spider-man,Marc Webb Emma Stone Andrew Garfield Action Adventure Fantasy the amazing spider-man
Ridley Scott,Mark Addy,William Hurt,English,USA,Action Adventure Drama History,robin hood,Ridley Scott Mark Addy William Hurt Action Adventure Drama History robin hood
Peter Jackson,Aidan Turner,Adam Brown,English,USA,Adventure Fantasy,the hobbit: the desolation of smaug,Peter Jackson Aidan Turner Adam Brown Adventure Fantasy the hobbit: the desolation of smaug
Chris Weitz,Christopher Lee,Eva Green,English,USA,Adventure Family Fantasy,the golden compass,Chris Weitz Christopher Lee Eva Green Adventure Family Fantasy the golden compass
James Cameron,Leonardo DiCaprio,Kate Winslet,English,USA,Drama Romance,titanic,James Cameron Leonardo DiCaprio Kate Winslet Drama Romance titanic
