director_name,actor_1_name,actor_2_name,language,country,genres,movie_title,combined
Trivikram Srinivas,Pawan Kalyan, Keerthy Suresh,Telugu,India,Drama Action,agnyaathavaasi,Trivikram Srinivas Pawan Kalyan  Keerthy Suresh Drama Action agnyaathavaasi
K. S. Ravikumar,Nandamuri Balakrishna, Nayantara,Telugu,India,Action Comedy Drama Family,jai simha,K. S. Ravikumar Nandamuri Balakrishna  Nayantara Action Comedy Drama Family jai simha
Aishwarya Addala,Aishwarya Addala, Satyanand,Telugu,India,Thriller Horror,3 mukhi,Aishwarya Addala Aishwarya Addala  Satyanand Thriller Horror 3 mukhi
R. V. Subramanyam,Aashish Raj Bidkikar, Simran Sharma,Telugu,India,Animation Comedy Family Science Fiction,ego,R. V. Subramanyam Aashish Raj Bidkikar  Simran Sharma Animation Comedy Family Science Fiction ego
G. Ashok,Anushka Shetty, Jayaram,Telugu,India,Thriller Horror Crime Mystery,bhaagamathie,G. Ashok Anushka Shetty  Jayaram Thriller Horror Crime Mystery bhaagamathie
Venky Kudumula,Naga Shaurya, Rashmika Mandanna,Telugu,India,Comedy,chalo,Venky Kudumula Naga Shaurya  Rashmika Mandanna Comedy chalo
Vikram Sirikonda,Ravi Teja, Raashi Khanna,Telugu,India,Action,touch chesi chudu,Vikram Sirikonda Ravi Teja  Raashi Khanna Action touch chesi chudu
Revan Yadhu,Rahul Ravindran, Chandini Chowdhary,Telugu,India,Thriller Romance Action,howrah bridge,Revan Yadhu Rahul Ravindran  Chandini Chowdhary Thriller Romance Action howrah bridge
R. R. Madan,Mohan Babu, Shriya Saran,Telugu,India,Family Action Thriller,gayatri,R. R. Madan Mohan Babu  Shriya Saran Family Action Thriller gayatri
V. V. Vinayak,Sai Dharam Tej, Lavanya Tripathi,Telugu,India,Action,inttelligent,V. V. Vinayak Sai Dharam Tej  Lavanya Tripathi Action inttelligent
Venky Atluri,Varun Tej, Raashi Khanna,Telugu,India,Romance Drama Comedy,tholi prema,Venky Atluri Varun Tej  Raashi Khanna Romance Drama Comedy tholi prema
M. Ramesh Gopi,Tarun Kumar, Oviya,Telugu,India,Drama Romance,idi naa love story,M. Ramesh Gopi Tarun Kumar  Oviya Drama Romance idi naa love story
Prashanth Varma,Kajal Aggarwal, Nithya Menen,Telugu,India,Drama History Thriller,awe,Prashanth Varma Kajal Aggarwal  Nithya Menen Drama History Thriller awe
Manjula Ghattamaneni,Sundeep Kishan, Amyra Dastur,Telugu,India,Action Romance Family,manasuku nachindi,Manjula Ghattamaneni Sundeep Kishan  Amyra Dastur Action Romance Family manasuku nachindi
Vidya Sagar Raju,Vidya Sagar Raju, Sanchita Padukone,Telugu,India,Romance,rachayitha,Vidya Sagar Raju Vidya Sagar Raju  Sanchita Padukone Romance rachayitha
Pradeep K. K.,Vishwadev Rachakonda, Priyanka Jain,Telugu,India,Action Romance Comedy,chalte chalte,Pradeep K. K. Vishwadev Rachakonda  Priyanka Jain Action Romance Comedy chalte chalte
Raj Satya,Rahul Ravindran, Reshmi Menon,Telugu,India,Romance Comedy Family,hyderabad love story,Raj Satya Rahul Ravindran  Reshmi Menon Romance Comedy Family hyderabad love story
Trikoti Peta,Ranjith Somi, Palak Lalwani,Telugu,India,Action,juvva,Trikoti Peta Ranjith Somi  Palak Lalwani Action juvva
L. Ramakrishna Raju,Meka Srikanth, Naziya,Telugu,India,Comedy Horror,raa raa,L. Ramakrishna Raju Meka Srikanth  Naziya Comedy Horror raa raa
Sridhar Marri,Vijay Deverakonda, Shivani Singh,Telugu,India,Thriller Romance,ye mantram vesave,Sridhar Marri Vijay Deverakonda  Shivani Singh Thriller Romance ye mantram vesave
Raj Madiraju,Indraneil Sengupta, Zara Shah,Telugu,India,Thriller Crime,aithe 2.0,Raj Madiraju Indraneil Sengupta  Zara Shah Thriller Crime aithe 2.0
Sharan Koppisetty,Nikhil Siddharth, Simran Pareenja,Telugu,India,Drama Comedy Romance,kirrak party,Sharan Koppisetty Nikhil Siddharth  Simran Pareenja Drama Comedy Romance kirrak party
Upendra Madhav,Nandamuri Kalyan Ram, Kajal Aggarwal,Telugu,India,Action Drama,mla,Upendra Madhav Nandamuri Kalyan Ram  Kajal Aggarwal Action Drama mla
Udugula Venu,Sree Vishnu, Satna Titus,Telugu,India,Drama Family,needi naadi oke katha,Udugula Venu Sree Vishnu  Satna Titus Drama Family needi naadi oke katha
Sukumar,Ram Charan, Samantha Akkineni,Telugu,India,Action Drama,rangasthalam,Sukumar Ram Charan  Samantha Akkineni Action Drama rangasthalam
Krishna Chaitanya,Nithiin, Megha Akash,Telugu,India,Romance Comedy Family,chal mohan ranga,Krishna Chaitanya Nithiin  Megha Akash Romance Comedy Family chal mohan ranga
Karthik Subbaraj,Prabhu Deva, Sananth Reddy,Telugu,India,Action Crime Drama Thriller,mercury,Karthik Subbaraj Prabhu Deva  Sananth Reddy Action Crime Drama Thriller mercury
Koratala Siva,Mahesh Babu, Kiara Advani,Telugu,India,Drama Action,bharat ane nenu,Koratala Siva Mahesh Babu  Kiara Advani Drama Action bharat ane nenu
G. Nageswara Reddy,Vishnu Manchu, Pragya Jaiswal,Telugu,India,Family Comedy,achari america yatra,G. Nageswara Reddy Vishnu Manchu  Pragya Jaiswal Family Comedy achari america yatra
A. L. Vijay,Sai Pallavi, Veronica Arora,Telugu,India,Drama Fantasy Science Fiction,kanam,A. L. Vijay Sai Pallavi  Veronica Arora Drama Fantasy Science Fiction kanam
Vakkantham Vamsi,Allu Arjun, Arjun Sarja,Telugu,India,Action,"naa peru surya, naa illu india","Vakkantham Vamsi Allu Arjun  Arjun Sarja Action naa peru surya, naa illu india"
Nag Ashwin,Keerthi Suresh, Dulquer Salman,Telugu,India,Drama,mahanati,Nag Ashwin Keerthi Suresh  Dulquer Salman Drama mahanati
Puri Jagannadh,Akash Puri, Neha Shetty,Telugu,India,Drama Romance,mehbooba,Puri Jagannadh Akash Puri  Neha Shetty Drama Romance mehbooba
Kalyan Krishna,Ravi Teja, Malvika Sharma,Telugu,India,Action Drama,nela ticket,Kalyan Krishna Ravi Teja  Malvika Sharma Action Drama nela ticket
Sundar Surya,Naga Shourya, Shamili,Telugu,India,Drama Family Romance,ammammagarillu,Sundar Surya Naga Shourya  Shamili Drama Family Romance ammammagarillu
Ram Gopal Varma,Nagarjuna Akkineni, Myra Sareen,Telugu,India,Drama Romance,officer,Ram Gopal Varma Nagarjuna Akkineni  Myra Sareen Drama Romance officer
Sanjana Reddy,Raj Tarun, Amyra Dastur,Telugu,India,Comedy Romance,raju gadu,Sanjana Reddy Raj Tarun  Amyra Dastur Comedy Romance raju gadu
Nandi Venkat Reddy,Sri Karan, Amrutha,Telugu,India,Drama Romance,best lovers,Nandi Venkat Reddy Sri Karan  Amrutha Drama Romance best lovers
Jayendra Panchapakesan,Nandamuri Kalyan Ram, Tamannaah,Telugu,India,Romance Comedy,naa... nuvve,Jayendra Panchapakesan Nandamuri Kalyan Ram  Tamannaah Romance Comedy naa... nuvve
Mohan Krishna Indraganti,Sudheer Babu, Aditi Rao Hydari,Telugu,India,Romance Drama,sammohanam,Mohan Krishna Indraganti Sudheer Babu  Aditi Rao Hydari Romance Drama sammohanam
J. B. Murali Krishna,Srinivas Reddy, Siddhi Idnani,Telugu,India,Comedy Fantasy,jamba lakidi pamba,J. B. Murali Krishna Srinivas Reddy  Siddhi Idnani Comedy Fantasy jamba lakidi pamba
K. Chakravarthy,Gopichand, Mehreen Pirzada,Telugu,India,Drama Action,pantham,K. Chakravarthy Gopichand  Mehreen Pirzada Drama Action pantham
